024,30,19794667122645,20617963290,0,0,"(nan, nan)","(nan, nan)",0,0,nan,nan,"(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)"
024,30,19794667489318,20618329970,1,1,"(0.254390686750412, 0.22827528417110443)","(0.27228185534477234, 0.25127723813056946)",1,1,2.35888671875,2.454010009765625,"(-52.952789306640625, -54.31962585449219, 663.0852661132812)","(1.937150239944458, -49.23091125488281, 653.190185546875)","(-126.48465728759766, 251.17430114746094, 80.77819061279297)","(-117.26121520996094, 244.2099151611328, 78.24331665039062)"
024,30,19794667497651,20618338303,1,1,"(0.2555939555168152, 0.23494140803813934)","(0.25795379281044006, 0.2543618083000183)",1,1,2.3688507080078125,2.4687652587890625,"(-52.98534393310547, -54.30105209350586, 663.0784912109375)","(1.9191014766693115, -49.208038330078125, 653.0494384765625)","(-125.86429595947266, 249.15594482421875, 80.04354858398438)","(-124.6477279663086, 243.27597045898438, 77.90341186523438)"
024,30,19794667505985,20618346637,1,1,"(0.2560037672519684, 0.2271561473608017)","(0.2652856111526489, 0.24558310210704803)",1,1,2.34332275390625,2.4585113525390625,"(-52.97028350830078, -54.31189727783203, 663.0333251953125)","(1.922320008277893, -49.21211242675781, 653.1083984375)","(-125.65303802490234, 251.51315307617188, 80.90152740478516)","(-120.86799621582031, 245.93392944335938, 78.87085723876953)"
024,30,19794667514316,20618354969,1,1,"(0.2574889361858368, 0.23767291009426117)","(0.2651209235191345, 0.2519019842147827)",1,1,2.36212158203125,2.4547882080078125,"(-52.97816467285156, -54.31192398071289, 663.04345703125)","(1.921067237854004, -49.21024703979492, 653.0845947265625)","(-124.88740539550781, 248.32894897460938, 79.74254608154297)","(-120.95286560058594, 244.02073669433594, 78.17450714111328)"
024,30,19794667522650,20618363303,1,1,"(0.2570980489253998, 0.2299700528383255)","(0.261360228061676, 0.2564394772052765)",1,1,2.361602783203125,2.4718475341796875,"(-52.98356628417969, -54.297725677490234, 662.9068603515625)","(1.9091273546218872, -49.19611358642578, 652.8965454101562)","(-125.08888244628906, 250.6611785888672, 80.59140014648438)","(-122.8916244506836, 242.6468963623047, 77.6744384765625)"
024,30,19794667530984,20618371637,1,1,"(0.2511267364025116, 0.2442624717950821)","(0.26274922490119934, 0.25307387113571167)",1,1,2.37835693359375,2.461944580078125,"(-53.002723693847656, -54.285606384277344, 662.927490234375)","(1.8983490467071533, -49.18048858642578, 652.8148193359375)","(-128.16729736328125, 246.3337860107422, 79.01636505126953)","(-122.17555236816406, 243.66590881347656, 78.04532623291016)"
024,30,19794667539317,20618379970,1,1,"(0.2545863091945648, 0.241654634475708)","(0.25874462723731995, 0.2562215030193329)",1,1,2.3520355224609375,2.445892333984375,"(-53.01499938964844, -54.27940368652344, 662.8638916015625)","(1.8889435529708862, -49.178871154785156, 652.80322265625)","(-126.38379669189453, 247.12338256835938, 79.30375671386719)","(-124.24005126953125, 242.712890625, 77.69845581054688)"
024,30,19794667547650,20618388303,1,1,"(0.2580038011074066, 0.25571081042289734)","(0.2568451166152954, 0.26112401485443115)",1,1,2.3649749755859375,2.4686431884765625,"(-53.04481506347656, -54.273006439208984, 663.0186767578125)","(1.8726359605789185, -49.173397064208984, 652.8740234375)","(-124.62197875976562, 242.86753845214844, 77.75475311279297)","(-125.21929168701172, 241.22853088378906, 77.15821075439453)"
024,30,19794667555984,20618396637,1,1,"(0.2529844343662262, 0.24771806597709656)","(0.2574830949306488, 0.2520175874233246)",1,1,2.371612548828125,2.464508056640625,"(-53.0574951171875, -54.26954650878906, 663.1152954101562)","(1.8638466596603394, -49.168235778808594, 652.94482421875)","(-127.2095947265625, 245.28753662109375, 78.63553619384766)","(-124.89039611816406, 243.9857177734375, 78.1617431640625)"
024,30,19794667564316,20618404969,1,1,"(0.2607877552509308, 0.2582840621471405)","(0.2590565085411072, 0.249553844332695)",1,1,2.3902435302734375,2.4483184814453125,"(-53.075965881347656, -54.27767562866211, 663.1861572265625)","(1.8615801334381104, -49.1690559387207, 653.0155029296875)","(-123.18675994873047, 242.08840942382812, 77.47114562988281)","(-124.07927703857422, 244.73170471191406, 78.4332504272461)"
